motherboard_brand,motherboard_chipset,cpu_brand,cpu_model,ram_brand,ram_size_gb,ram_type,ram_speed_mhz,gpu_brand,gpu_model,cooler_brand,cooler_type,cabinet_brand,cabinet_type,psu_brand,psu_wattage,storage_type,storage_capacity_gb,total_price
asrock,x670,amd,amd_ryzen_7_7700x,kingston,8_gb,ddr4,2666_mhz,nvidia,rtx_4090,cooler_master,aio_120mm,generic,microatx,antec,1000_wattage,ssd_nvme,1000_gb,326180.70000000007
gigabyte,b550,amd,amd_ryzen_5_5600x,g_skill,32_gb,ddr5,4800_mhz,nvidia,gtx_1650,be_quiet!,air,cooler_master,microatx,evga,650_wattage,ssd_nvme,512_gb,85574.0
asrock,x670,amd,amd_ryzen_7_7700x,teamgroup,8_gb,ddr5,5200_mhz,nvidia,rtx_3060,deepcool,air,thermaltake,full_tower,corsair_(budget),650_wattage,ssd_nvme,1000_gb,141674.0
biostar,b660,intel,intel_core_i3-13100,teamgroup,8_gb,ddr5,3200_mhz,nvidia,rtx_4080,deepcool,air,generic,microatx,cooler_master,750_wattage,ssd_nvme,1000_gb,156256.0
evga,b650,amd,amd_athlon_3000g,kingston,8_gb,ddr5,5200_mhz,nvidia,rtx_4080,cooler_master,aio_120mm,antec,mid_tower,corsair_(budget),850_wattage,ssd_nvme,512_gb,177504.0
biostar,b650,amd,amd_ryzen_7_7700x,kingston,16_gb,ddr5,5600_mhz,nvidia,gtx_1650,corsair,air,nzxt,full_tower,evga,550_wattage,ssd_nvme,512_gb,100384.0
asus,h670,intel,intel_core_i7-13700k,crucial,32_gb,ddr4,3600_mhz,amd,radeon_rx_7600,stock_cooler,air,nzxt,mid_tower,corsair_(budget),850_wattage,ssd_sata,512_gb,126762.0
asus,z690,intel,intel_core_i5-13600k,adata,8_gb,ddr5,4800_mhz,nvidia,rtx_4090,cooler_master,aio_240mm,nzxt,mini-itx,evga,1200_wattage,ssd_nvme,2000_gb,326180.70000000007
intel,z690,intel,intel_pentium_gold_g7400,teamgroup,8_gb,ddr5,3200_mhz,nvidia,rtx_4090,deepcool,air,cooler_master,mid_tower,seasonic,1000_wattage,ssd_nvme,2000_gb,320182.0
intel,x570,amd,amd_ryzen_5_5600x,g_skill,128_gb,ddr5,3600_mhz,nvidia,rtx_3060,corsair,aio_240mm,fractal_design,full_tower,cooler_master,750_wattage,ssd_nvme,1000_gb,221717.0
evga,a520,amd,amd_ryzen_7_7700x,g_skill,16_gb,ddr5,3200_mhz,nvidia,rtx_4080,stock_cooler,air,corsair,mid_tower,evga,750_wattage,ssd_nvme,256_gb,205981.0
biostar,h670,intel,intel_core_i9-13900k,corsair,32_gb,ddr5,5600_mhz,amd,radeon_rx_6500_xt,cooler_master,aio_360mm,thermaltake,microatx,antec,550_wattage,ssd_sata,2000_gb,149155.0
asus,z690,intel,intel_core_i5-13600k,kingston,32_gb,ddr5,3200_mhz,nvidia,rtx_4090,deepcool,air,generic,full_tower,cooler_master,850_wattage,ssd_sata,2000_gb,326180.70000000007
evga,h670,intel,intel_core_i7-13700k,kingston,16_gb,ddr5,4800_mhz,nvidia,rtx_4070,corsair,air,thermaltake,full_tower,antec,850_wattage,ssd_nvme,1000_gb,221249.0
intel,h610,intel,intel_core_i9-13900k,crucial,8_gb,ddr5,4800_mhz,nvidia,rtx_3060,stock_cooler,aio_240mm,generic,mid_tower,corsair_(budget),850_wattage,ssd_nvme,512_gb,144250.0
biostar,h610,intel,intel_core_i7-13700k,patriot,8_gb,ddr5,3200_mhz,nvidia,rtx_4070,be_quiet!,air,antec,mini-itx,antec,750_wattage,ssd_sata,512_gb,199929.0
intel,b660,intel,intel_core_i7-13700k,g_skill,16_gb,ddr5,5600_mhz,nvidia,rtx_4070,be_quiet!,aio_120mm,antec,mid_tower,cooler_master,850_wattage,ssd_sata,1000_gb,223371.0
gigabyte,h670,intel,intel_core_i7-13700k,crucial,8_gb,ddr5,5200_mhz,nvidia,rtx_4080,be_quiet!,air,nzxt,microatx,cooler_master,1000_wattage,hdd,1000_gb,196136.0
msi,x670,amd,amd_ryzen_5_5600x,corsair,16_gb,ddr4,2400_mhz,nvidia,rtx_4090,deepcool,aio_360mm,fractal_design,full_tower,corsair_(budget),1200_wattage,ssd_sata,2000_gb,326180.70000000007
evga,x670,amd,amd_ryzen_7_7700x,g_skill,8_gb,ddr5,5600_mhz,nvidia,rtx_4080,deepcool,air,thermaltake,microatx,cooler_master,1000_wattage,ssd_sata,256_gb,210101.0
gigabyte,x570,amd,amd_athlon_3000g,g_skill,16_gb,ddr5,3600_mhz,amd,radeon_rx_7600,be_quiet!,aio_120mm,nzxt,full_tower,seasonic,650_wattage,ssd_nvme,1000_gb,108532.0
intel,x670,amd,amd_ryzen_5_5600x,kingston,32_gb,ddr5,3600_mhz,nvidia,rtx_4090,be_quiet!,air,generic,mid_tower,cooler_master,850_wattage,ssd_sata,512_gb,326180.70000000007
intel,h670,intel,intel_core_i9-13900k,kingston,16_gb,ddr4,2666_mhz,nvidia,rtx_4070,corsair,stock,cooler_master,full_tower,corsair_(budget),1000_wattage,ssd_nvme,256_gb,223854.0
evga,h670,intel,intel_core_i5-13600k,kingston,16_gb,ddr4,3000_mhz,nvidia,gtx_1650,be_quiet!,aio_240mm,fractal_design,mid_tower,cooler_master,650_wattage,ssd_nvme,512_gb,77171.0
asus,b660,intel,intel_core_i9-13900k,g_skill,16_gb,ddr5,5200_mhz,nvidia,rtx_4080,deepcool,aio_120mm,generic,full_tower,seasonic,850_wattage,ssd_sata,1000_gb,248598.0
biostar,h610,intel,intel_core_i5-13600k,corsair,8_gb,ddr5,3600_mhz,nvidia,rtx_3060,cooler_master,aio_120mm,fractal_design,mid_tower,evga,850_wattage,ssd_sata,512_gb,103184.0
gigabyte,h670,intel,intel_core_i7-13700k,g_skill,16_gb,ddr5,3200_mhz,nvidia,rtx_3060,cooler_master,air,corsair,microatx,corsair,650_wattage,ssd_nvme,512_gb,123599.0
biostar,b550,amd,amd_ryzen_7_7700x,corsair,8_gb,ddr4,4000_mhz,nvidia,rtx_4070,corsair,air,fractal_design,mid_tower,antec,850_wattage,ssd_nvme,1000_gb,203249.0
intel,a520,amd,amd_ryzen_9_7950x,patriot,8_gb,ddr5,5600_mhz,amd,radeon_rx_7800_xt,corsair,air,nzxt,mini-itx,seasonic,750_wattage,ssd_sata,256_gb,207734.0
gigabyte,h610,intel,intel_pentium_gold_g7400,patriot,16_gb,ddr4,3600_mhz,amd,radeon_rx_6500_xt,noctua,aio_120mm,thermaltake,mid_tower,seasonic,450_wattage,ssd_nvme,2000_gb,53681.0
asus,a520,amd,amd_ryzen_7_7700x,kingston,16_gb,ddr4,3200_mhz,amd,radeon_rx_7900_xtx,noctua,air,nzxt,mid_tower,seasonic,1200_wattage,ssd_nvme,2000_gb,326180.70000000007
evga,b650,amd,amd_ryzen_5_7600x,kingston,32_gb,ddr5,3600_mhz,amd,radeon_rx_6500_xt,noctua,air,generic,mid_tower,evga,450_wattage,ssd_sata,1000_gb,90833.0
evga,b550,amd,amd_athlon_3000g,patriot,32_gb,ddr5,4800_mhz,nvidia,rtx_3060,deepcool,air,cooler_master,mini-itx,corsair_(budget),650_wattage,ssd_sata,512_gb,92988.0
intel,h670,intel,intel_core_i5-13600k,teamgroup,16_gb,ddr5,3200_mhz,amd,radeon_rx_7800_xt,be_quiet!,air,thermaltake,mid_tower,cooler_master,850_wattage,ssd_nvme,1000_gb,193912.0
evga,b550,amd,amd_ryzen_5_7600x,crucial,16_gb,ddr4,3000_mhz,nvidia,rtx_4080,cooler_master,aio_120mm,generic,full_tower,corsair_(budget),1000_wattage,ssd_nvme,512_gb,198522.0
asus,b650,amd,amd_athlon_3000g,corsair,8_gb,ddr5,3600_mhz,nvidia,rtx_4080,be_quiet!,aio_240mm,antec,mini-itx,corsair_(budget),750_wattage,ssd_nvme,2000_gb,172962.0
gigabyte,z790,intel,intel_core_i7-13700k,adata,16_gb,ddr4,3000_mhz,amd,radeon_rx_7900_xtx,be_quiet!,air,antec,microatx,corsair,850_wattage,ssd_nvme,1000_gb,326180.70000000007
evga,b650,amd,amd_ryzen_7_7700x,kingston,16_gb,ddr4,2400_mhz,nvidia,gtx_1650,corsair,air,corsair,microatx,cooler_master,550_wattage,ssd_nvme,512_gb,88553.0
biostar,x570,amd,amd_athlon_3000g,corsair,32_gb,ddr5,3600_mhz,nvidia,rtx_4090,be_quiet!,air,fractal_design,mid_tower,antec,1000_wattage,ssd_nvme,256_gb,309489.0
evga,x570,amd,amd_ryzen_7_7700x,corsair,8_gb,ddr5,5200_mhz,nvidia,gtx_1650,noctua,aio_360mm,nzxt,mid_tower,corsair_(budget),450_wattage,hdd,1000_gb,109280.0
gigabyte,b660,intel,intel_core_i3-13100,crucial,16_gb,ddr4,2666_mhz,amd,radeon_rx_7800_xt,corsair,air,cooler_master,microatx,antec,750_wattage,ssd_nvme,256_gb,159918.0
intel,z790,intel,intel_pentium_gold_g7400,patriot,16_gb,ddr4,3600_mhz,nvidia,rtx_4070,stock_cooler,air,fractal_design,full_tower,cooler_master,850_wattage,ssd_nvme,2000_gb,178443.0
asus,b660,intel,intel_core_i9-13900k,corsair,32_gb,ddr5,5600_mhz,nvidia,rtx_4090,corsair,air,cooler_master,mini-itx,evga,1000_wattage,ssd_nvme,512_gb,326180.70000000007
gigabyte,z690,intel,intel_pentium_gold_g7400,teamgroup,16_gb,ddr4,3600_mhz,nvidia,rtx_4080,cooler_master,aio_120mm,fractal_design,full_tower,corsair_(budget),750_wattage,ssd_sata,512_gb,159479.0
biostar,x670,amd,amd_ryzen_5_5600x,corsair,8_gb,ddr5,3600_mhz,nvidia,rtx_4080,noctua,aio_360mm,nzxt,full_tower,corsair,750_wattage,ssd_nvme,1000_gb,186857.0
msi,h670,intel,intel_core_i5-13600k,crucial,16_gb,ddr4,3000_mhz,nvidia,gtx_1650,cooler_master,aio_360mm,nzxt,full_tower,evga,650_wattage,ssd_nvme,2000_gb,95188.0
asrock,b650,amd,amd_athlon_3000g,crucial,16_gb,ddr5,4800_mhz,amd,radeon_rx_7800_xt,deepcool,aio_240mm,thermaltake,microatx,cooler_master,1000_wattage,ssd_nvme,2000_gb,193767.0
asus,x670,amd,amd_ryzen_5_5600x,teamgroup,8_gb,ddr5,3200_mhz,nvidia,rtx_4070,cooler_master,air,generic,microatx,corsair_(budget),750_wattage,ssd_nvme,1000_gb,189334.0
evga,b650,amd,amd_ryzen_7_7700x,teamgroup,16_gb,ddr5,3600_mhz,amd,radeon_rx_6500_xt,noctua,air,generic,microatx,cooler_master,550_wattage,ssd_nvme,256_gb,98124.0
gigabyte,x670,amd,amd_athlon_3000g,corsair,8_gb,ddr5,5600_mhz,nvidia,rtx_4080,noctua,aio_360mm,cooler_master,mini-itx,cooler_master,1000_wattage,ssd_nvme,512_gb,195926.0
gigabyte,b550,amd,amd_ryzen_5_7600x,patriot,64_gb,ddr4,3200_mhz,amd,radeon_rx_7600,be_quiet!,air,thermaltake,mid_tower,cooler_master,850_wattage,ssd_nvme,2000_gb,128065.0
asus,x670,amd,amd_ryzen_5_7600x,patriot,16_gb,ddr5,5600_mhz,nvidia,rtx_4080,cooler_master,air,fractal_design,microatx,evga,750_wattage,ssd_sata,2000_gb,202606.0
asrock,x670,amd,amd_ryzen_9_7950x,g_skill,16_gb,ddr5,3600_mhz,nvidia,rtx_3060,be_quiet!,air,antec,mini-itx,cooler_master,650_wattage,ssd_sata,512_gb,166449.0
intel,b550,amd,amd_athlon_3000g,kingston,16_gb,ddr5,4800_mhz,amd,radeon_rx_7800_xt,corsair,aio_120mm,cooler_master,mini-itx,cooler_master,1000_wattage,ssd_nvme,2000_gb,192719.0
asrock,x670,amd,amd_ryzen_5_5600x,kingston,16_gb,ddr5,4800_mhz,nvidia,rtx_4090,noctua,air,cooler_master,mid_tower,evga,850_wattage,ssd_nvme,512_gb,326180.70000000007
asrock,b650,amd,amd_ryzen_5_5600x,corsair,16_gb,ddr5,3600_mhz,nvidia,rtx_4090,corsair,aio_120mm,cooler_master,full_tower,evga,1000_wattage,ssd_sata,1000_gb,315151.0
evga,z690,intel,intel_pentium_gold_g7400,g_skill,8_gb,ddr4,2400_mhz,nvidia,rtx_4090,be_quiet!,air,fractal_design,mini-itx,corsair_(budget),850_wattage,ssd_nvme,2000_gb,310386.0
msi,x570,amd,amd_ryzen_5_5600x,kingston,8_gb,ddr4,2666_mhz,nvidia,gtx_1650,stock_cooler,aio_240mm,generic,full_tower,corsair,650_wattage,ssd_nvme,2000_gb,81388.0
evga,b660,intel,intel_core_i9-13900k,adata,8_gb,ddr5,3600_mhz,amd,radeon_rx_7600,corsair,air,nzxt,mid_tower,seasonic,850_wattage,ssd_nvme,2000_gb,150582.0
intel,h670,intel,intel_core_i9-13900k,g_skill,32_gb,ddr5,4800_mhz,amd,radeon_rx_6500_xt,be_quiet!,air,corsair,microatx,cooler_master,650_wattage,ssd_nvme,1000_gb,134019.0
msi,z790,intel,intel_core_i7-13700k,teamgroup,8_gb,ddr5,3600_mhz,amd,radeon_rx_7900_xtx,deepcool,air,fractal_design,mini-itx,evga,1200_wattage,ssd_nvme,2000_gb,326180.70000000007
evga,h670,intel,intel_pentium_gold_g7400,corsair,16_gb,ddr5,5200_mhz,nvidia,gtx_1650,cooler_master,aio_360mm,thermaltake,mid_tower,seasonic,450_wattage,ssd_nvme,512_gb,65021.0
msi,b650,amd,amd_ryzen_5_7600x,crucial,16_gb,ddr4,3000_mhz,nvidia,gtx_1650,deepcool,aio_240mm,cooler_master,mini-itx,cooler_master,650_wattage,ssd_nvme,1000_gb,85816.0
asrock,x670,amd,amd_ryzen_7_7700x,patriot,16_gb,ddr5,4800_mhz,amd,radeon_rx_7800_xt,be_quiet!,aio_120mm,nzxt,mini-itx,corsair_(budget),750_wattage,ssd_sata,256_gb,221021.0
asus,b650,amd,amd_ryzen_9_7950x,teamgroup,16_gb,ddr5,4800_mhz,nvidia,gtx_1650,corsair,air,nzxt,full_tower,cooler_master,550_wattage,ssd_nvme,256_gb,125566.0
msi,h670,intel,intel_core_i7-13700k,g_skill,64_gb,ddr5,4800_mhz,nvidia,rtx_3060,be_quiet!,aio_240mm,generic,mid_tower,corsair,850_wattage,ssd_nvme,2000_gb,187861.0
evga,h670,intel,intel_core_i7-13700k,adata,8_gb,ddr4,2400_mhz,nvidia,gtx_1650,cooler_master,air,antec,microatx,corsair,650_wattage,ssd_nvme,512_gb,80814.0
msi,b660,intel,intel_pentium_gold_g7400,adata,8_gb,ddr5,4800_mhz,nvidia,rtx_3060,deepcool,air,antec,microatx,evga,850_wattage,hdd,1000_gb,87125.0
biostar,z690,intel,intel_pentium_gold_g7400,patriot,8_gb,ddr4,4000_mhz,nvidia,rtx_4080,cooler_master,air,cooler_master,full_tower,antec,850_wattage,ssd_sata,256_gb,166797.0
gigabyte,h670,intel,intel_pentium_gold_g7400,g_skill,8_gb,ddr4,2666_mhz,nvidia,rtx_3060,noctua,aio_120mm,antec,mid_tower,antec,650_wattage,ssd_nvme,512_gb,81311.0
evga,z790,intel,intel_core_i7-13700k,teamgroup,16_gb,ddr5,3600_mhz,nvidia,gtx_1650,cooler_master,aio_120mm,antec,mini-itx,evga,550_wattage,ssd_sata,512_gb,107219.0
asrock,b550,amd,amd_ryzen_7_7700x,adata,8_gb,ddr5,3200_mhz,nvidia,rtx_4080,be_quiet!,air,generic,mini-itx,corsair_(budget),750_wattage,ssd_nvme,256_gb,218014.0
intel,z790,intel,intel_pentium_gold_g7400,adata,16_gb,ddr4,3000_mhz,amd,radeon_rx_7800_xt,stock_cooler,air,cooler_master,mini-itx,seasonic,750_wattage,ssd_sata,512_gb,163004.0
evga,h670,intel,intel_core_i7-13700k,g_skill,32_gb,ddr5,4800_mhz,nvidia,rtx_4080,noctua,aio_240mm,generic,full_tower,antec,750_wattage,ssd_nvme,1000_gb,230735.0
gigabyte,x670,amd,amd_ryzen_5_5600x,corsair,16_gb,ddr4,3000_mhz,nvidia,rtx_4070,cooler_master,air,generic,mid_tower,cooler_master,850_wattage,ssd_nvme,2000_gb,204913.0
asus,z790,intel,intel_core_i3-13100,corsair,8_gb,ddr4,4000_mhz,amd,radeon_rx_7800_xt,be_quiet!,air,thermaltake,mini-itx,evga,850_wattage,ssd_sata,512_gb,168725.0
gigabyte,x670,amd,amd_athlon_3000g,crucial,32_gb,ddr5,4800_mhz,nvidia,gtx_1650,be_quiet!,air,thermaltake,microatx,seasonic,650_wattage,ssd_nvme,1000_gb,86889.0
evga,x670,amd,amd_ryzen_5_7600x,kingston,8_gb,ddr4,4000_mhz,nvidia,rtx_4070,corsair,aio_120mm,corsair,microatx,cooler_master,850_wattage,ssd_nvme,1000_gb,220136.0
evga,b660,intel,intel_core_i7-13700k,patriot,8_gb,ddr5,3600_mhz,nvidia,rtx_4090,stock_cooler,aio_120mm,cooler_master,microatx,evga,1000_wattage,ssd_sata,1000_gb,326180.70000000007
asus,b550,amd,amd_ryzen_5_7600x,g_skill,8_gb,ddr5,3200_mhz,amd,radeon_rx_7600,corsair,air,antec,microatx,corsair_(budget),850_wattage,ssd_nvme,2000_gb,109644.0
asrock,b650,amd,amd_ryzen_9_7950x,g_skill,16_gb,ddr5,5200_mhz,nvidia,rtx_4070,cooler_master,air,thermaltake,full_tower,cooler_master,750_wattage,ssd_nvme,512_gb,253619.0
biostar,z690,intel,intel_core_i3-13100,patriot,16_gb,ddr5,4800_mhz,nvidia,rtx_4090,be_quiet!,aio_360mm,nzxt,microatx,corsair,1200_wattage,ssd_sata,256_gb,300072.0
biostar,h610,intel,intel_core_i5-13600k,corsair,32_gb,ddr5,5200_mhz,nvidia,rtx_4080,be_quiet!,stock,corsair,microatx,cooler_master,850_wattage,ssd_nvme,256_gb,194891.0
evga,z790,intel,intel_core_i3-13100,teamgroup,16_gb,ddr4,3200_mhz,nvidia,rtx_4080,corsair,air,generic,mini-itx,seasonic,750_wattage,ssd_sata,1000_gb,183266.0
biostar,x570,amd,amd_ryzen_5_5600x,adata,16_gb,ddr4,2400_mhz,nvidia,gtx_1650,be_quiet!,air,nzxt,microatx,corsair_(budget),650_wattage,ssd_sata,2000_gb,70059.0
asus,z790,intel,intel_core_i5-13600k,teamgroup,8_gb,ddr5,4800_mhz,amd,radeon_rx_7900_xtx,corsair,air,fractal_design,mid_tower,corsair_(budget),1000_wattage,ssd_sata,1000_gb,326180.70000000007
msi,x570,amd,amd_ryzen_5_5600x,kingston,8_gb,ddr5,5200_mhz,nvidia,rtx_4090,noctua,air,antec,mid_tower,seasonic,1000_wattage,ssd_sata,512_gb,325268.0
biostar,b550,amd,amd_ryzen_7_7700x,g_skill,8_gb,ddr4,2666_mhz,nvidia,rtx_3060,cooler_master,aio_360mm,corsair,mini-itx,corsair_(budget),850_wattage,ssd_nvme,2000_gb,138870.0
biostar,b660,intel,intel_core_i7-13700k,crucial,16_gb,ddr4,2666_mhz,nvidia,rtx_4070,stock_cooler,air,corsair,microatx,corsair,850_wattage,ssd_nvme,512_gb,189231.0
gigabyte,z690,intel,intel_core_i5-13600k,kingston,32_gb,ddr5,5600_mhz,nvidia,rtx_4070,stock_cooler,air,fractal_design,full_tower,antec,750_wattage,ssd_nvme,512_gb,229046.0
asus,h670,intel,intel_core_i5-13600k,g_skill,16_gb,ddr5,3600_mhz,amd,radeon_rx_7900_xtx,noctua,air,generic,mid_tower,cooler_master,1000_wattage,hdd,2000_gb,315785.0
intel,b660,intel,intel_core_i9-13900k,patriot,16_gb,ddr5,5200_mhz,nvidia,rtx_4090,corsair,aio_360mm,generic,full_tower,corsair_(budget),1000_wattage,ssd_nvme,2000_gb,326180.70000000007
biostar,x670,amd,amd_ryzen_9_7950x,patriot,16_gb,ddr4,3600_mhz,nvidia,rtx_4090,cooler_master,air,nzxt,mini-itx,corsair,1000_wattage,ssd_nvme,256_gb,326180.70000000007
asus,b550,amd,amd_ryzen_7_7700x,teamgroup,16_gb,ddr4,3600_mhz,amd,radeon_rx_7800_xt,corsair,air,nzxt,mini-itx,cooler_master,1000_wattage,ssd_nvme,1000_gb,216612.0
asrock,h610,intel,intel_core_i7-13700k,patriot,16_gb,ddr5,5600_mhz,nvidia,rtx_3060,stock_cooler,aio_240mm,thermaltake,mini-itx,seasonic,750_wattage,ssd_sata,512_gb,122213.0
biostar,a520,amd,amd_athlon_3000g,teamgroup,16_gb,ddr4,3600_mhz,nvidia,rtx_4080,be_quiet!,air,corsair,mini-itx,corsair,750_wattage,ssd_nvme,1000_gb,160837.0
asus,b650,amd,amd_athlon_3000g,patriot,16_gb,ddr4,3000_mhz,nvidia,rtx_4090,stock_cooler,air,corsair,full_tower,corsair_(budget),1200_wattage,ssd_sata,256_gb,326180.70000000007
asus,b550,amd,amd_ryzen_5_5600x,teamgroup,8_gb,ddr4,4000_mhz,nvidia,rtx_4080,deepcool,aio_240mm,antec,full_tower,corsair,750_wattage,ssd_nvme,256_gb,171341.0
biostar,x670,amd,amd_ryzen_9_7950x,teamgroup,8_gb,ddr4,3200_mhz,nvidia,rtx_3060,stock_cooler,air,generic,mini-itx,seasonic,750_wattage,ssd_nvme,1000_gb,160837.0
evga,b650,amd,amd_athlon_3000g,kingston,32_gb,ddr5,3600_mhz,nvidia,rtx_4080,be_quiet!,aio_240mm,generic,mid_tower,antec,750_wattage,hdd,1000_gb,185851.0
biostar,z790,intel,intel_core_i5-13600k,kingston,8_gb,ddr4,3600_mhz,nvidia,rtx_4080,corsair,aio_240mm,fractal_design,full_tower,antec,750_wattage,ssd_sata,256_gb,204960.0
msi,b650,amd,amd_ryzen_5_5600x,adata,8_gb,ddr5,4800_mhz,nvidia,rtx_4070,noctua,aio_360mm,thermaltake,microatx,antec,1000_wattage,ssd_nvme,1000_gb,195971.0
asus,x670,amd,amd_ryzen_7_7700x,patriot,32_gb,ddr5,4800_mhz,nvidia,rtx_4070,corsair,air,fractal_design,mini-itx,corsair_(budget),750_wattage,ssd_nvme,2000_gb,251663.0
msi,z790,intel,intel_core_i7-13700k,patriot,16_gb,ddr5,5600_mhz,nvidia,rtx_4080,corsair,aio_240mm,thermaltake,full_tower,seasonic,750_wattage,ssd_sata,256_gb,212786.0
msi,h610,intel,intel_core_i3-13100,corsair,8_gb,ddr4,3600_mhz,nvidia,gtx_1650,deepcool,air,nzxt,full_tower,corsair,550_wattage,ssd_nvme,2000_gb,57525.0
msi,x670,amd,amd_ryzen_7_7700x,g_skill,8_gb,ddr4,3200_mhz,nvidia,rtx_3060,be_quiet!,aio_120mm,corsair,microatx,corsair,650_wattage,ssd_nvme,1000_gb,137374.0
msi,b550,amd,amd_athlon_3000g,crucial,32_gb,ddr5,3200_mhz,nvidia,rtx_4080,stock_cooler,air,thermaltake,mini-itx,evga,750_wattage,hdd,2000_gb,190544.0
intel,h610,intel,intel_core_i3-13100,teamgroup,8_gb,ddr5,4800_mhz,nvidia,rtx_4070,corsair,stock,thermaltake,mini-itx,corsair_(budget),850_wattage,ssd_sata,1000_gb,164723.0
intel,z790,intel,intel_core_i5-13600k,crucial,16_gb,ddr5,4800_mhz,nvidia,rtx_4090,be_quiet!,aio_120mm,corsair,mini-itx,corsair,1000_wattage,ssd_nvme,1000_gb,313516.0
gigabyte,x670,amd,amd_athlon_3000g,patriot,16_gb,ddr5,5200_mhz,nvidia,rtx_4090,stock_cooler,air,generic,full_tower,corsair_(budget),850_wattage,ssd_nvme,2000_gb,326180.70000000007
asus,b550,amd,amd_ryzen_7_7700x,g_skill,16_gb,ddr4,2666_mhz,nvidia,rtx_4080,cooler_master,aio_120mm,cooler_master,mini-itx,seasonic,850_wattage,ssd_nvme,1000_gb,216974.0
biostar,h670,intel,intel_core_i5-13600k,adata,32_gb,ddr5,3200_mhz,amd,radeon_rx_7600,be_quiet!,aio_120mm,thermaltake,mini-itx,seasonic,850_wattage,ssd_sata,1000_gb,125196.0
evga,b550,amd,amd_athlon_3000g,teamgroup,8_gb,ddr5,3600_mhz,nvidia,gtx_1650,cooler_master,air,antec,mini-itx,antec,450_wattage,ssd_nvme,256_gb,45863.0
asrock,z690,intel,intel_pentium_gold_g7400,corsair,8_gb,ddr5,5600_mhz,nvidia,rtx_4080,noctua,aio_120mm,nzxt,mid_tower,evga,750_wattage,ssd_sata,2000_gb,180803.0
evga,b660,intel,intel_core_i3-13100,corsair,32_gb,ddr5,5200_mhz,nvidia,gtx_1650,stock_cooler,stock,antec,mini-itx,corsair_(budget),450_wattage,ssd_nvme,1000_gb,72134.0
biostar,x570,amd,amd_ryzen_7_7700x,kingston,16_gb,ddr5,5600_mhz,nvidia,rtx_4070,stock_cooler,air,nzxt,mid_tower,evga,850_wattage,ssd_sata,256_gb,217989.0
asrock,x670,amd,amd_athlon_3000g,patriot,16_gb,ddr5,5600_mhz,nvidia,rtx_4080,noctua,air,generic,full_tower,evga,1000_wattage,ssd_sata,1000_gb,200405.0
evga,z790,intel,intel_core_i3-13100,crucial,16_gb,ddr4,2666_mhz,nvidia,rtx_4090,deepcool,aio_120mm,cooler_master,mid_tower,antec,850_wattage,ssd_nvme,256_gb,323256.0
gigabyte,z790,intel,intel_core_i7-13700k,g_skill,8_gb,ddr5,4800_mhz,nvidia,rtx_3060,corsair,stock,antec,mini-itx,antec,650_wattage,ssd_sata,2000_gb,131756.0
intel,h610,intel,intel_pentium_gold_g7400,patriot,8_gb,ddr4,2666_mhz,nvidia,rtx_3060,be_quiet!,air,thermaltake,mid_tower,corsair_(budget),850_wattage,ssd_sata,256_gb,77203.0
biostar,b660,intel,intel_core_i3-13100,patriot,32_gb,ddr5,3200_mhz,nvidia,rtx_4080,stock_cooler,aio_360mm,fractal_design,mid_tower,cooler_master,1000_wattage,ssd_nvme,512_gb,193393.0
evga,z790,intel,intel_pentium_gold_g7400,adata,16_gb,ddr4,4000_mhz,nvidia,rtx_4080,be_quiet!,aio_360mm,nzxt,mini-itx,corsair_(budget),850_wattage,ssd_nvme,1000_gb,195429.0
asus,h670,intel,intel_pentium_gold_g7400,adata,16_gb,ddr4,2400_mhz,nvidia,rtx_4080,corsair,stock,nzxt,full_tower,seasonic,750_wattage,ssd_nvme,256_gb,170290.0
intel,x670,amd,amd_ryzen_7_7700x,crucial,16_gb,ddr5,3600_mhz,nvidia,rtx_4080,noctua,aio_240mm,fractal_design,full_tower,corsair,1000_wattage,ssd_nvme,1000_gb,248346.0
msi,z690,intel,intel_pentium_gold_g7400,corsair,16_gb,ddr5,3600_mhz,nvidia,rtx_3060,be_quiet!,air,corsair,mid_tower,corsair,750_wattage,ssd_nvme,256_gb,98982.0
gigabyte,x670,amd,amd_ryzen_7_7700x,teamgroup,16_gb,ddr5,5200_mhz,nvidia,rtx_4070,cooler_master,air,corsair,mid_tower,corsair_(budget),750_wattage,ssd_sata,256_gb,222366.0
asrock,h610,intel,intel_pentium_gold_g7400,teamgroup,16_gb,ddr4,3600_mhz,amd,radeon_rx_7900_xtx,be_quiet!,air,thermaltake,mini-itx,corsair_(budget),1200_wattage,ssd_sata,2000_gb,326180.70000000007
evga,z790,intel,intel_core_i7-13700k,crucial,8_gb,ddr5,3600_mhz,nvidia,rtx_3060,deepcool,air,nzxt,mini-itx,corsair,750_wattage,ssd_nvme,1000_gb,142689.0
gigabyte,b550,amd,amd_ryzen_5_5600x,teamgroup,8_gb,ddr5,3600_mhz,nvidia,gtx_1650,be_quiet!,aio_240mm,fractal_design,mini-itx,antec,650_wattage,ssd_nvme,512_gb,67040.0
gigabyte,z690,intel,intel_pentium_gold_g7400,g_skill,32_gb,ddr5,5200_mhz,nvidia,gtx_1650,corsair,air,corsair,microatx,corsair_(budget),450_wattage,ssd_nvme,256_gb,75426.0
